Model,Method,Metric,Metric Type,Baseline,Mitigated,Abs Change,% Change
LR,Reweighing,dem_parity_diff,fairness,0.2357,0.0125,-0.2232,-94.7
LR,Reweighing,fnr_gap,fairness,0.3393,0.2875,-0.0518,-15.3
LR,Reweighing,equalized_odds,fairness,0.3393,0.2875,-0.0518,-15.3
LR,Reweighing,fpr_gap,fairness,0.2483,0.0201,-0.2282,-91.9
LR,Reweighing,roc_auc,performance,0.8499,0.8478,-0.0021,-0.2
LR,Reweighing,f1,performance,0.4151,0.3419,-0.0732,-17.6
LR,Reweighing,accuracy,performance,0.7805,0.909,0.1285,16.5
RF,Reweighing,dem_parity_diff,fairness,0.0479,0.0217,-0.0262,-54.7
RF,Reweighing,fnr_gap,fairness,0.1571,0.3125,0.1554,98.9
RF,Reweighing,equalized_odds,fairness,0.1571,0.3125,0.1554,98.9
RF,Reweighing,fpr_gap,fairness,0.0325,0.0201,-0.0124,-38.2
RF,Reweighing,roc_auc,performance,0.8849,0.8845,-0.0004,-0.0
RF,Reweighing,f1,performance,0.515,0.3921,-0.1229,-23.9
RF,Reweighing,accuracy,performance,0.9117,0.9172,0.0055,0.6
XGB,Reweighing,dem_parity_diff,fairness,0.0523,0.0536,0.0013,2.5
XGB,Reweighing,fnr_gap,fairness,0.4437,0.2125,-0.2312,-52.1
XGB,Reweighing,equalized_odds,fairness,0.4437,0.2125,-0.2312,-52.1
XGB,Reweighing,fpr_gap,fairness,0.0589,0.0503,-0.0086,-14.6
XGB,Reweighing,roc_auc,performance,0.8683,0.8762,0.0079,0.9
XGB,Reweighing,f1,performance,0.4801,0.469,-0.0111,-2.3
XGB,Reweighing,accuracy,performance,0.8583,0.9149,0.0566,6.6
LR,ExpGradient,dem_parity_diff,fairness,0.2357,0.0548,-0.1809,-76.8
LR,ExpGradient,fnr_gap,fairness,0.3393,0.3,-0.0393,-11.6
LR,ExpGradient,equalized_odds,fairness,0.3393,0.3,-0.0393,-11.6
LR,ExpGradient,fpr_gap,fairness,0.2483,0.0302,-0.2181,-87.8
LR,ExpGradient,roc_auc,performance,0.8499,0.6107,-0.2392,-28.1
LR,ExpGradient,f1,performance,0.4151,0.3409,-0.0742,-17.9
LR,ExpGradient,accuracy,performance,0.7805,0.9086,0.1281,16.4
RF,ExpGradient,dem_parity_diff,fairness,0.0479,0.0262,-0.0217,-45.3
RF,ExpGradient,fnr_gap,fairness,0.1571,0.275,0.1179,75.0
RF,ExpGradient,equalized_odds,fairness,0.1571,0.275,0.1179,75.0
RF,ExpGradient,fpr_gap,fairness,0.0325,0.0251,-0.0074,-22.8
RF,ExpGradient,roc_auc,performance,0.8849,0.6567,-0.2282,-25.8
RF,ExpGradient,f1,performance,0.515,0.4362,-0.0788,-15.3
RF,ExpGradient,accuracy,performance,0.9117,0.9166,0.0049,0.5
XGB,ExpGradient,dem_parity_diff,fairness,0.0523,0.0491,-0.0032,-6.1
XGB,ExpGradient,fnr_gap,fairness,0.4437,0.1687,-0.275,-62.0
XGB,ExpGradient,equalized_odds,fairness,0.4437,0.1688,-0.2749,-62.0
XGB,ExpGradient,fpr_gap,fairness,0.0589,0.0452,-0.0137,-23.3
XGB,ExpGradient,roc_auc,performance,0.8683,0.7375,-0.1308,-15.1
XGB,ExpGradient,f1,performance,0.4801,0.4735,-0.0066,-1.4
XGB,ExpGradient,accuracy,performance,0.8583,0.9137,0.0554,6.5
LR,ThresholdOpt,dem_parity_diff,fairness,0.2357,0.0103,-0.2254,-95.6
LR,ThresholdOpt,fnr_gap,fairness,0.3393,0.4,0.0607,17.9
LR,ThresholdOpt,equalized_odds,fairness,0.3393,0.4,0.0607,17.9
LR,ThresholdOpt,fpr_gap,fairness,0.2483,0.0142,-0.2341,-94.3
LR,ThresholdOpt,roc_auc,performance,0.8499,0.8499,0.0,0.0
LR,ThresholdOpt,f1,performance,0.4151,0.2381,-0.177,-42.6
LR,ThresholdOpt,accuracy,performance,0.7805,0.9049,0.1244,15.9
RF,ThresholdOpt,dem_parity_diff,fairness,0.0479,0.0439,-0.004,-8.4
RF,ThresholdOpt,fnr_gap,fairness,0.1571,0.1786,0.0215,13.7
RF,ThresholdOpt,equalized_odds,fairness,0.1571,0.1786,0.0215,13.7
RF,ThresholdOpt,fpr_gap,fairness,0.0325,0.0312,-0.0013,-4.0
RF,ThresholdOpt,roc_auc,performance,0.8849,0.8849,0.0,0.0
RF,ThresholdOpt,f1,performance,0.515,0.5038,-0.0112,-2.2
RF,ThresholdOpt,accuracy,performance,0.9117,0.9099,-0.0018,-0.2
XGB,ThresholdOpt,dem_parity_diff,fairness,0.0523,0.2157,0.1634,312.4
XGB,ThresholdOpt,fnr_gap,fairness,0.4437,0.25,-0.1937,-43.7
XGB,ThresholdOpt,equalized_odds,fairness,0.4437,0.25,-0.1937,-43.7
XGB,ThresholdOpt,fpr_gap,fairness,0.0589,0.226,0.1671,283.7
XGB,ThresholdOpt,roc_auc,performance,0.8683,0.8683,0.0,0.0
XGB,ThresholdOpt,f1,performance,0.4801,0.4247,-0.0554,-11.5
XGB,ThresholdOpt,accuracy,performance,0.8583,0.7854,-0.0729,-8.5
