method,model,sensitive_attr,accuracy,precision,recall,f1,roc_auc,fpr,fnr,dem_parity_diff,equal_opp_diff,equalized_odds,fpr_gap,fnr_gap
Baseline,LR,gender,0.7805,0.284,0.7713,0.4151,0.8499,0.2185,0.2287,0.0094,0.012,0.012,0.0033,0.012
Baseline,LR,race_group,0.7805,0.284,0.7713,0.4151,0.8499,0.2185,0.2287,0.2357,0.3393,0.3393,0.2483,0.3393
Baseline,LR,insurance_group,0.7805,0.284,0.7713,0.4151,0.8499,0.2185,0.2287,0.1413,0.088,0.1209,0.1209,0.088
Baseline,LR,age_group,0.7805,0.284,0.7713,0.4151,0.8499,0.2185,0.2287,0.2546,0.1711,0.2117,0.2117,0.1711
Baseline,RF,gender,0.9117,0.5783,0.4642,0.515,0.8849,0.038,0.5358,0.006,0.0401,0.0401,0.0066,0.0401
Baseline,RF,race_group,0.9117,0.5783,0.4642,0.515,0.8849,0.038,0.5358,0.0479,0.1571,0.1571,0.0325,0.1571
Baseline,RF,insurance_group,0.9117,0.5783,0.4642,0.515,0.8849,0.038,0.5358,0.0242,0.0522,0.0522,0.0111,0.0522
Baseline,RF,age_group,0.9117,0.5783,0.4642,0.515,0.8849,0.038,0.5358,0.0527,0.1446,0.1446,0.0211,0.1446
Baseline,XGB,gender,0.8583,0.3813,0.6479,0.4801,0.8683,0.1181,0.3521,0.0051,0.0059,0.0059,0.0008,0.0059
Baseline,XGB,race_group,0.8583,0.3813,0.6479,0.4801,0.8683,0.1181,0.3521,0.0523,0.4437,0.4437,0.0589,0.4437
Baseline,XGB,insurance_group,0.8583,0.3813,0.6479,0.4801,0.8683,0.1181,0.3521,0.0921,0.0039,0.0762,0.0762,0.0039
Baseline,XGB,age_group,0.8583,0.3813,0.6479,0.4801,0.8683,0.1181,0.3521,0.1611,0.0857,0.1193,0.1193,0.0857
Reweighing,LR,gender,0.909,0.6343,0.234,0.3419,0.8478,0.0152,0.766,0.0004,0.0191,0.0191,0.0006,0.0191
Reweighing,LR,race_group,0.909,0.6343,0.234,0.3419,0.8478,0.0152,0.766,0.0125,0.2875,0.2875,0.0201,0.2875
Reweighing,LR,insurance_group,0.909,0.6343,0.234,0.3419,0.8478,0.0152,0.766,0.0185,0.0398,0.0398,0.0135,0.0398
Reweighing,LR,age_group,0.909,0.6343,0.234,0.3419,0.8478,0.0152,0.766,0.0335,0.0615,0.0615,0.0161,0.0615
Reweighing,RF,gender,0.9172,0.7576,0.2645,0.3921,0.8845,0.0095,0.7355,0.0014,0.0162,0.0162,0.0024,0.0162
Reweighing,RF,race_group,0.9172,0.7576,0.2645,0.3921,0.8845,0.0095,0.7355,0.0217,0.3125,0.3125,0.0201,0.3125
Reweighing,RF,insurance_group,0.9172,0.7576,0.2645,0.3921,0.8845,0.0095,0.7355,0.0083,0.0518,0.0518,0.0017,0.0518
Reweighing,RF,age_group,0.9172,0.7576,0.2645,0.3921,0.8845,0.0095,0.7355,0.0241,0.1557,0.1557,0.0071,0.1557
Reweighing,XGB,gender,0.9149,0.6346,0.372,0.469,0.8762,0.0241,0.628,0.0032,0.0075,0.0075,0.0008,0.0075
Reweighing,XGB,race_group,0.9149,0.6346,0.372,0.469,0.8762,0.0241,0.628,0.0536,0.2125,0.2125,0.0503,0.2125
Reweighing,XGB,insurance_group,0.9149,0.6346,0.372,0.469,0.8762,0.0241,0.628,0.0199,0.0631,0.0631,0.0111,0.0631
Reweighing,XGB,age_group,0.9149,0.6346,0.372,0.469,0.8762,0.0241,0.628,0.0509,0.0436,0.0436,0.0214,0.0436
